사업장명,도로명주소,위도,경도
재단법인아산사회복지재단 서울아산병원,"서울특별시 송파구 올림픽로43길 88, 서울아산병원 (풍납동)",37.52627525866216,127.10658733769303
한국보훈복지의료공단 중앙보훈병원,서울특별시 강동구 진황도로61길 53 (둔촌동),37.52969727903149,127.14482697203589
성심의료재단강동성심병원,서울특별시 강동구 성안로 150 (길동),37.53612376205731,127.13235402633248
강동경희대학교병원,서울특별시 강동구 동남로 892 (상일동),37.553230616095156,127.15451668099968
재단법인천주교부산교구유지재단 메리놀병원,부산광역시 중구 중구로 121 (대청동4가),35.10723437804707,129.02919986707764
고신대학교복음병원,부산광역시 서구 감천로 262 (암남동),35.08160029351981,129.01028524410535
부산대학교병원,부산광역시 서구 구덕로 179 (아미동1가),35.10055187417491,129.01616702472234
동아대학교병원,부산광역시 서구 대신공원로 26 (동대신동3가),35.12016842214364,129.0149221433557
삼육부산병원,부산광역시 서구 대티로 170 (서대신동2가),35.11192403526664,129.00796913135235
의료법인정화의료재단 봉생기념병원,"부산광역시 동구 중앙대로 401 (좌천동, 봉생병원)",35.131061484926896,129.04758848493864
좋은문화병원,부산광역시 동구 범일로 119 (범일동),35.1408918702298,129.05616964020516
재단법인일신기독교선교회 일신기독병원,부산광역시 동구 정공단로 27 (좌천동),35.135482179908365,129.05121309954316
의료법인 행도의료재단 해동병원,부산광역시 영도구 태종로 133 (봉래동3가),35.09189356822436,129.04102958345433
영도병원,부산광역시 영도구 태종로 85 (대교동2가),35.09219846800027,129.0376224274709
인제대학교부산백병원,"부산광역시 부산진구 복지로 75, 진사로83번길 81, 1층(일부), 3층 (개금동)",35.14595320368854,129.0179203389289
의료법인 온그룹의료재단 온병원,"부산광역시 부산진구 가야대로 719, ,767,721,본관 지하3~11층 전부,12층 일부,13~14층 전부,15층 일부,신관 1층, 9층 일부 (당감동)",35.15766846547541,129.04716677055737
빌리브세웅병원,부산광역시 동래구 충렬대로 455 (안락동),35.19587269979123,129.10535656790066
대동병원,부산광역시 동래구 충렬대로 187 (명륜동),35.20423373882863,129.07733128731635
의료법인 광혜의료재단 광혜병원,"부산광역시 동래구 충렬대로 96 (온천동, 광혜병원)",35.20701381967957,129.06823048768047
동래봉생병원,부산광역시 동래구 안연로109번길 27 (안락동),35.19689558896979,129.09322882413647
부산성모병원(재단법인 천주교부산교구유지재단),부산광역시 남구 용호로232번길 25-14 (용호동),35.10969830847256,129.1070642311939
구포성심병원,부산광역시 북구 낙동대로 1786 (구포동),35.20969902766857,129.00181758736272
의료법인 인당의료재단 부민병원,부산광역시 북구 만덕대로 59 (덕천동),35.21186667476372,129.00835718004527
의료법인 인당의료재단 해운대부민병원,"부산광역시 해운대구 해운대로 584, 해운대 부민병원 지하4~지상13층 (우동)",35.161413123275494,129.15279294196668
인제대학교 해운대백병원,부산광역시 해운대구 해운대로 875 (좌동),35.173469204073086,129.17950272777546
